nest,cam,n,year,island,terr,date,julian,lay_date,hatch_date,LD,HD,age,hatch,chick,survive,pred,t,obvs,type,ground,veg,place,per_cover,str_veg,str_rock,max_str,dens,nn,nest_lagu,nest_tern
C2-1,C2,227,2018,Cockroach,BVI,6-Jun,157,18-May,11-Jun,138,162,19,1,NA,1,0,1,4,bare,litter,bare,periph,0,7.62,0,7.62,0.75,0.5,2,0
C2-1,C2,227,2018,Cockroach,BVI,7-Jun,158,18-May,11-Jun,138,162,20,1,NA,1,0,1,5,bare,litter,bare,periph,0,7.62,0,7.62,0.75,0.5,2,0
C2-1,C2,227,2018,Cockroach,BVI,8-Jun,159,18-May,11-Jun,138,162,21,1,NA,1,0,1,6,bare,litter,bare,periph,0,7.62,0,7.62,0.75,0.5,2,0
C2-1,C2,227,2018,Cockroach,BVI,9-Jun,160,18-May,11-Jun,138,162,22,1,NA,1,0,1,7,bare,litter,bare,periph,0,7.62,0,7.62,0.75,0.5,2,0
C2-1,C2,227,2018,Cockroach,BVI,10-Jun,161,18-May,11-Jun,138,162,23,1,NA,1,0,1,8,bare,litter,bare,periph,0,7.62,0,7.62,0.75,0.5,2,0
C2-1,C2,227,2018,Cockroach,BVI,11-Jun,162,18-May,11-Jun,138,162,24,1,1,1,0,1,9,bare,litter,bare,periph,0,7.62,0,7.62,0.75,0.5,2,0
C2-1,C2,227,2018,Cockroach,BVI,12-Jun,163,18-May,11-Jun,138,162,25,NA,1,1,0,1,10,bare,litter,bare,periph,0,7.62,0,7.62,0.75,0.5,2,0
C2-1,C2,227,2018,Cockroach,BVI,13-Jun,164,18-May,11-Jun,138,162,26,NA,1,1,0,1,11,bare,litter,bare,periph,0,7.62,0,7.62,0.75,0.5,2,0
C2-1,C2,227,2018,Cockroach,BVI,14-Jun,165,18-May,11-Jun,138,162,27,NA,1,1,0,1,12,bare,litter,bare,periph,0,7.62,0,7.62,0.75,0.5,2,0
C2-1,C2,227,2018,Cockroach,BVI,15-Jun,165,18-May,11-Jun,138,162,28,NA,1,1,0,1,12,bare,litter,bare,periph,0,7.62,0,7.62,0.75,0.5,2,0
C2-2,C2,227,2018,Cockroach,BVI,3-Jun,154,17-May,10-Jun,137,161,17,1,NA,1,0,1,1,bare,litter,bare,periph,0,15.24,15.24,15.24,0.75,0.5,2,0
C2-2,C2,227,2018,Cockroach,BVI,4-Jun,155,17-May,10-Jun,137,161,18,1,NA,1,0,1,2,bare,litter,bare,periph,0,15.24,15.24,15.24,0.75,0.5,2,0
C2-2,C2,227,2018,Cockroach,BVI,5-Jun,156,17-May,10-Jun,137,161,19,1,NA,1,0,1,3,bare,litter,bare,periph,0,15.24,15.24,15.24,0.75,0.5,2,0
C2-2,C2,227,2018,Cockroach,BVI,6-Jun,157,17-May,10-Jun,137,161,20,1,NA,1,0,1,4,bare,litter,bare,periph,0,15.24,15.24,15.24,0.75,0.5,2,0
C2-2,C2,227,2018,Cockroach,BVI,7-Jun,158,17-May,10-Jun,137,161,21,1,NA,1,0,1,5,bare,litter,bare,periph,0,15.24,15.24,15.24,0.75,0.5,2,0
C2-2,C2,227,2018,Cockroach,BVI,8-Jun,159,17-May,10-Jun,137,161,22,1,NA,1,0,1,6,bare,litter,bare,periph,0,15.24,15.24,15.24,0.75,0.5,2,0
C2-2,C2,227,2018,Cockroach,BVI,9-Jun,160,17-May,10-Jun,137,161,23,1,NA,1,0,1,7,bare,litter,bare,periph,0,15.24,15.24,15.24,0.75,0.5,2,0
C2-2,C2,227,2018,Cockroach,BVI,10-Jun,161,17-May,10-Jun,137,161,24,1,1,1,0,1,8,bare,litter,bare,periph,0,15.24,15.24,15.24,0.75,0.5,2,0
C2-2,C2,227,2018,Cockroach,BVI,11-Jun,162,17-May,10-Jun,137,161,25,NA,1,1,0,1,9,bare,litter,bare,periph,0,15.24,15.24,15.24,0.75,0.5,2,0
C2-2,C2,227,2018,Cockroach,BVI,12-Jun,163,17-May,10-Jun,137,161,26,NA,1,1,0,1,10,bare,litter,bare,periph,0,15.24,15.24,15.24,0.75,0.5,2,0
C2-2,C2,227,2018,Cockroach,BVI,13-Jun,163,17-May,10-Jun,137,161,27,NA,1,1,0,1,11,bare,litter,bare,periph,0,15.24,15.24,15.24,0.75,0.5,2,0
C2-2,C2,227,2018,Cockroach,BVI,14-Jun,163,17-May,10-Jun,137,161,28,NA,1,1,0,1,11,bare,litter,bare,periph,0,15.24,15.24,15.24,0.75,0.5,2,0
C2A-1,C2A,50,2017,Congo,USVI,17-May,137,6-May,30-May,126,150,11,1,NA,1,0,1,1,bare,rock,bare,periph,0,0,91.44,91.44,0.11,0,0,0
C2A-1,C2A,50,2017,Congo,USVI,18-May,138,6-May,30-May,126,150,12,0,NA,0,0,1,2,bare,rock,bare,periph,0,0,91.44,91.44,0.11,0,0,0
C2B-1,C2B,50,2017,Congo,USVI,17-May,137,6-May,30-May,126,150,11,0,NA,0,0,1,1,cov,veg,grass,center,0.25,15.24,60.96,60.96,1,0,0,0
